record_id,site,state_territory,source,county_fips,counties_served,population_served,sample_id,sample_collect_date,sample_type,sample_matrix,sample_location,flow_rate,concentration_method,pasteurized,pcr_type,extraction_method,major_lab_method,inhibition_detect,inhibition_adjust,ntc_amplify,pcr_target,pcr_gene_target_agg,pcr_target_avg_conc,pcr_target_units,lod_sewage,pcr_target_detect,pcr_target_avg_conc_lin,pcr_target_flowpop_lin,pcr_target_mic_lin,hum_frac_target_mic,hum_frac_mic_conc,hum_frac_mic_unit,rec_eff_percent,rec_eff_target_name,rec_eff_spike_matrix,rec_eff_spike_conc,date_updated
ea5c65d5cae60eac32509d99d054c0df,1976,vt,CDC_Verily,50027,Windsor,"6,000",ff66f32c73dfd2de42e7024d8b542435,2024-04-08,grab,raw wastewater,wwtp,0.35,ceres nanotrap,no,ddpcr,thermo magmax viral/pathogen nucleic acid isolation kit,2.0,no,no,no,rsv,rsv-a and rsv-b combined,0,copies/l wastewater,"1,500",no,750,"165,611.25",4e-05,pepper mild mottle virus,"19,101,472.12062",copies/l wastewater,38.6,bcov vaccine,clarified sample,5,2026 May 15 11:01:00 AM
9def854d954da75cd2cf72baa253aded,1962,vt,CDC_Verily,50003,Bennington,"20,000",4b9f47d64780179ebbd90afd7dd56f5e,2024-03-21,24-hr time-weighted composite,raw wastewater,wwtp,5.0,ceres nanotrap,no,ddpcr,thermo magmax viral/pathogen nucleic acid isolation kit,2.0,no,no,no,rsv,rsv-a and rsv-b combined,0,copies/l wastewater,"1,500",no,750,"709,762.5",0.00016,pepper mild mottle virus,"4,788,252.90338",copies/l wastewater,14.8,bcov vaccine,clarified sample,5,2026 May 15 11:01:00 AM
7e762383770d418be995e0a17a4ddcb0,1962,vt,CDC_Verily,50003,Bennington,"20,000",4acd43fa76edfc67417b50931afe995e,2024-05-28,24-hr time-weighted composite,raw wastewater,wwtp,5.0,ceres nanotrap,no,ddpcr,thermo magmax viral/pathogen nucleic acid isolation kit,2.0,no,no,no,rsv,rsv-a and rsv-b combined,0,copies/l wastewater,"1,500",no,750,"709,762.5",2e-05,pepper mild mottle virus,"33,141,984.19692",copies/l wastewater,24.6,bcov vaccine,clarified sample,5,2026 May 15 11:01:00 AM
9b997f34d776db9b7a7c691cb7d4e1b7,1976,vt,CDC_Verily,50027,Windsor,"6,000",6fe5fa78e16995f3dd100668c91567f1,2025-04-07,grab,raw wastewater,wwtp,0.35,ceres nanotrap,no,ddpcr,thermo magmax viral/pathogen nucleic acid isolation kit,2.0,no,no,no,rsv,rsv-a and rsv-b combined,0,copies/l wastewater,"1,500",no,750,"165,611.25",6e-05,pepper mild mottle virus,"12,942,713.81169",copies/l wastewater,57.6,bcov vaccine,clarified sample,5,2026 May 15 11:01:00 AM
fa396e3e0afddc3cd18770b5fa6bdc7f,1976,vt,CDC_Verily,50027,Windsor,"6,000",6c392d7e4f6123937c2792b61b897170,2025-12-15,grab,raw wastewater,wwtp,0.35,ceres nanotrap,no,ddpcr,thermo magmax viral/pathogen nucleic acid isolation kit,2.0,no,no,no,rsv,rsv-a and rsv-b combined,0,copies/l wastewater,"1,500",no,750,"165,611.25",0.00039,pepper mild mottle virus,"1,925,377.18548",copies/l wastewater,10.6,bcov vaccine,clarified sample,5,2026 May 15 11:01:00 AM
b1197703c82f28d78bb13a7cdc06254d,1976,vt,CDC_Verily,50027,Windsor,"6,000",0833791a730e849c72463c15666a0a4d,2024-10-01,grab,raw wastewater,wwtp,0.35,ceres nanotrap,no,ddpcr,thermo magmax viral/pathogen nucleic acid isolation kit,2.0,no,no,no,rsv,rsv-a and rsv-b combined,0,copies/l wastewater,"1,500",no,750,"165,611.25",1e-05,pepper mild mottle virus,"76,852,365.34154",copies/l wastewater,84.8,bcov vaccine,clarified sample,5,2026 May 15 11:01:00 AM
1ad197b0e97b76bee9f9de7071fb37de,1962,vt,CDC_Verily,50003,Bennington,"20,000",3f12eb12335303b1168e4e25e29a33fd,2024-03-12,24-hr time-weighted composite,raw wastewater,wwtp,5.0,ceres nanotrap,no,ddpcr,thermo magmax viral/pathogen nucleic acid isolation kit,2.0,no,no,no,rsv,rsv-a and rsv-b combined,0,copies/l wastewater,"1,500",no,750,"709,762.5",0.00097,pepper mild mottle virus,"777,033.87914",copies/l wastewater,10.7,bcov vaccine,clarified sample,5,2026 May 15 11:01:00 AM
af65be0f1d711a05657ea80211aa906b,1976,vt,CDC_Verily,50027,Windsor,"6,000",8dffb0fc52a57ff1c9790237d53d8fd6,2024-12-10,grab,raw wastewater,wwtp,0.35,ceres nanotrap,no,ddpcr,thermo magmax viral/pathogen nucleic acid isolation kit,2.0,no,no,no,rsv,rsv-a and rsv-b combined,0,copies/l wastewater,"1,500",no,750,"165,611.25",1e-05,pepper mild mottle virus,"99,645,451.47077",copies/l wastewater,47.6,bcov vaccine,clarified sample,5,2026 May 15 11:01:00 AM
c30a57f0d6c8c32e485760238a91b024,1976,vt,CDC_Verily,50027,Windsor,"6,000",3a3f78956572ef2ef3a957517d7316ea,2024-03-26,grab,raw wastewater,wwtp,0.35,ceres nanotrap,no,ddpcr,thermo magmax viral/pathogen nucleic acid isolation kit,2.0,no,no,no,rsv,rsv-a and rsv-b combined,0,copies/l wastewater,"1,500",no,750,"165,611.25",1e-05,pepper mild mottle virus,"104,094,820.45538",copies/l wastewater,187.3,bcov vaccine,clarified sample,5,2026 May 15 11:01:00 AM
1a2be4be567819034239fdf7e029f73e,2350,vt,CDC_Verily,50001,Addison,"9,000",11842696125dab669b900cb2088797c8,2025-05-20,24-hr flow-weighted composite,raw wastewater,wwtp,1.0,ceres nanotrap,no,ddpcr,thermo magmax viral/pathogen nucleic acid isolation kit,2.0,no,no,no,rsv,rsv-a and rsv-b combined,0,copies/l wastewater,"1,500",no,750,"315,450",0.00037,pepper mild mottle virus,"2,002,947.14708",copies/l wastewater,25.2,bcov vaccine,clarified sample,5,2026 May 15 11:01:00 AM
